,YYYY,team,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,salary,salary_log
67,2022,TIGERS,심재민,1994-02-18,0.86,44,0,0,1,4,1,0,6,43.1,19,18,184,41,6,2,4,16,3,2,21,0.0,0.0,3.74,4.61,1.32,110.1,88.4,0.33,8200.0,9.011889433252344
68,2022,EAGLES,강재민,1997-04-03,0.83,56,0,0,0,4,7,7,7,51.1,26,24,232,44,5,1,7,29,8,4,39,0.0,1.0,4.21,5.05,1.42,96.2,81.0,-1.58,15000.0,9.615805480084347
69,2022,TIGERS,배제성,1996-09-29,0.8,24,0,0,18,3,9,0,0,107.0,56,50,458,103,15,2,8,46,0,1,89,0.0,8.0,4.21,3.96,1.39,97.9,102.7,-0.54,27000.0,10.203592144986466
70,2022,TIGERS,고영창,1989-02-24,0.8,27,0,0,0,0,1,0,0,24.0,5,5,104,24,3,0,2,10,0,3,9,0.0,0.0,1.88,5.3,1.42,217.4,77.3,-0.47,4200.0,8.34283980427146
71,2022,GIANTS,김원중,1993-06-14,0.79,43,0,0,0,2,3,16,2,43.0,21,19,187,40,10,1,4,16,3,0,60,0.0,3.0,3.98,2.66,1.3,104.7,153.2,0.26,28000.0,10.239959789157341
72,2022,TWINS,배재준,1994-11-24,0.72,17,0,0,5,0,1,0,0,31.1,11,8,129,22,4,2,0,15,0,4,23,0.0,0.0,2.3,3.69,1.18,173.0,110.8,0.43,5000.0,8.517193191416238
73,2022,WYVERNS,최민준,1999-06-11,0.72,51,0,0,1,5,4,0,5,68.1,37,30,288,51,8,1,10,34,2,2,48,0.0,7.0,3.95,5.33,1.24,105.3,78.7,-0.66,6500.0,8.779557455883728
74,2022,LIONS,이상민,1990-11-04,0.72,46,0,0,0,0,0,0,9,29.1,13,12,138,30,6,1,5,15,1,3,23,0.0,2.0,3.68,5.73,1.53,113.4,72.6,0.2,5500.0,8.612503371220562
75,2022,WYVERNS,오원석,2001-04-23,0.7,31,0,0,24,6,8,0,0,144.0,79,72,633,158,21,2,16,58,1,3,112,0.0,6.0,4.5,4.48,1.5,92.5,93.6,-0.91,6500.0,8.779557455883728
76,2022,LIONS,홍정우,1996-03-16,0.7,26,0,0,0,5,2,0,1,26.2,10,9,111,19,6,0,3,13,4,0,20,0.0,0.0,3.04,4.31,1.2,137.4,96.3,-0.73,5300.0,8.575462099540212
77,2022,TWINS,최동환,1989-09-19,0.69,47,0,0,0,0,1,0,0,50.0,23,23,210,45,7,1,5,17,0,1,30,0.0,3.0,4.14,4.52,1.24,96.0,87.5,0.04,6000.0,8.699514748210191
78,2022,EAGLES,김범수,1995-10-03,0.66,78,0,0,0,3,7,0,27,66.0,36,32,289,64,13,0,5,35,5,3,58,0.0,2.0,4.36,4.07,1.5,92.8,100.4,-1.05,9680.0,9.177817180270623
79,2022,EAGLES,카펜터,1990-08-22,0.64,4,0,0,4,0,1,0,0,18.0,6,5,79,19,5,0,1,6,0,1,15,0.0,1.0,2.5,3.56,1.39,161.9,114.4,0.2,35000.0,10.46310334047155
80,2022,GIANTS,서준원,2000-11-05,0.62,33,0,0,4,3,3,0,2,60.0,32,32,265,65,10,1,3,23,0,5,45,0.0,2.0,4.8,3.89,1.47,86.7,105.0,-0.02,8400.0,9.035986984831405
81,2022,WYVERNS,고효준,1983-02-08,0.61,45,0,0,0,1,0,0,7,38.2,18,16,174,35,6,2,1,20,2,2,35,0.0,7.0,3.72,3.42,1.42,111.8,121.6,0.37,4000.0,8.294049640102028
82,2022,LIONS,이승현,1991-11-20,0.59,54,0,0,0,0,2,0,13,50.0,26,26,217,48,14,1,5,22,1,3,39,0.0,0.0,4.68,4.52,1.4,89.2,91.4,1.11,10000.0,9.210340371976184
83,2022,TIGERS,김기훈,2000-01-03,0.58,5,0,0,0,0,0,0,0,8.2,1,1,36,4,0,0,0,7,0,0,9,0.0,0.0,1.04,3.68,1.27,392.6,111.1,0.42,3500.0,8.160518247477505
84,2022,DYNOS,임정호,1990-04-16,0.53,33,0,0,0,1,2,0,6,25.0,11,9,104,21,3,1,1,7,0,2,30,1.0,0.0,3.24,2.54,1.12,125.7,161.2,0.08,10500.0,9.259130536145614
85,2022,EAGLES,신정락,1987-05-13,0.53,44,0,0,0,2,1,1,4,47.0,25,21,215,52,10,1,4,16,2,7,23,0.0,2.0,4.02,4.81,1.45,100.7,85.0,-0.32,5400.0,8.594154232552366
86,2022,WYVERNS,김택형,1996-10-10,0.52,64,0,0,0,3,5,17,10,60.1,33,33,261,57,9,0,8,22,1,3,62,0.0,6.0,4.92,4.2,1.31,84.6,100.6,-0.17,12500.0,9.433483923290392
87,2022,EAGLES,박상원,1994-09-09,0.5,14,0,0,0,0,0,0,4,12.0,4,3,53,11,1,0,0,6,0,0,16,0.0,1.0,2.25,2.17,1.42,179.9,186.6,0.19,9000.0,9.104979856318357
88,2022,BEARS,박정수,1996-01-29,0.49,13,0,0,0,1,1,0,0,19.2,7,7,83,17,2,0,1,9,0,1,18,0.0,1.0,3.2,3.69,1.32,124.2,108.6,-0.05,5000.0,8.517193191416238
89,2022,DYNOS,신민혁,1999-02-04,0.48,26,0,0,23,4,9,0,0,118.1,64,60,521,128,30,1,15,31,1,10,105,1.0,5.0,4.56,4.23,1.34,89.2,97.3,-0.38,12000.0,9.392661928770137
90,2022,EAGLES,정우람,1985-06-01,0.47,23,0,0,0,0,1,1,7,18.1,8,6,84,23,5,0,1,6,1,0,20,0.0,0.0,2.95,2.68,1.58,137.4,151.9,0.33,80000.0,11.289781913656018
91,2022,LIONS,문용익,1995-02-04,0.47,39,0,0,0,1,2,1,2,37.2,20,14,163,31,5,0,2,22,0,2,23,0.0,2.0,3.35,4.72,1.41,124.8,86.7,-0.19,4500.0,8.411832675758411
92,2022,TWINS,함덕주,1995-01-13,0.42,13,0,0,0,0,0,0,0,12.2,3,3,58,9,2,0,0,11,0,1,13,0.0,0.0,2.13,4.13,1.58,186.5,99.2,-0.06,12000.0,9.392661928770137
93,2022,EAGLES,킹엄,1991-11-08,0.41,3,0,0,3,1,2,0,0,16.1,6,5,70,15,2,1,1,5,0,1,18,0.0,0.0,2.76,3.03,1.22,146.9,134.2,0.18,50000.0,10.819778284410283
94,2022,TWINS,김영준,1999-01-12,0.38,2,0,0,2,0,0,0,0,9.2,2,2,43,8,2,0,1,4,0,3,7,0.0,1.0,1.86,5.41,1.24,213.5,73.4,0.3,3500.0,8.160518247477505
95,2022,WYVERNS,박민호,1992-02-25,0.37,22,0,0,0,1,1,1,4,22.0,10,10,101,26,2,0,3,11,1,2,12,0.0,0.0,4.09,5.66,1.68,101.8,73.9,-0.87,12000.0,9.392661928770137
96,2022,HEROS,한현희,1993-06-25,0.36,21,0,0,14,6,4,0,0,77.2,44,41,346,83,20,1,9,24,0,8,59,0.0,2.0,4.75,4.56,1.38,84.2,86.1,0.24,23000.0,10.043249494911286
97,2022,HEROS,박승주,1994-02-12,0.34,27,0,0,0,1,0,0,0,25.0,12,12,116,20,4,1,3,21,0,3,22,0.0,2.0,4.32,6.02,1.64,92.6,65.5,0.26,2400.0,7.783224016336037
98,2022,TIGERS,쿠에바스,1990-10-14,0.33,2,0,0,2,1,0,0,0,11.0,3,3,40,2,0,0,1,5,0,1,8,0.0,2.0,2.45,4.7,0.64,167.8,86.5,0.23,80000.0,11.289781913656018
99,2022,BEARS,장원준,1985-07-31,0.32,27,0,0,0,0,1,0,6,17.0,8,7,78,23,3,0,0,7,0,1,7,0.0,0.0,3.71,3.93,1.77,107.4,104.0,-0.38,5000.0,8.517193191416238
100,2022,EAGLES,장시환,1987-11-01,0.32,64,0,0,0,0,5,14,9,63.2,37,31,280,58,14,2,4,33,4,1,67,0.0,2.0,4.38,3.46,1.43,92.4,117.7,-0.04,8700.0,9.071078304642676
101,2022,DYNOS,하준영,1999-09-06,0.32,47,0,0,0,3,0,0,4,39.0,22,20,164,28,5,0,3,14,1,3,44,0.0,2.0,4.62,3.31,1.08,88.2,124.0,-0.02,4000.0,8.294049640102028
102,2022,TIGERS,김민,1999-04-14,0.31,6,0,0,0,0,0,0,2,7.2,2,2,28,4,0,0,1,2,0,1,8,0.0,0.0,2.35,4.12,0.78,175.4,99.0,0.21,2700.0,7.90100705199242
103,2022,BEARS,이형범,1994-02-27,0.28,31,0,0,0,0,1,0,0,31.0,17,15,142,34,7,0,1,11,0,4,17,0.0,2.0,4.35,4.11,1.45,91.4,98.2,-0.89,8100.0,8.99961934066053
104,2022,TWINS,송은범,1984-03-17,0.28,25,0,0,0,1,1,0,2,26.2,13,12,116,29,3,0,3,10,0,0,13,0.0,0.0,4.05,4.95,1.46,98.1,79.8,0.0,15000.0,9.615805480084347
