birth||name,year||team||pos,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA
1995-11-21 || 장준원,22K2B,0.23,35,63,57,7,14,2,0,3,25,10,1,0,3,0,0,17,5,3,0,0.246,0.283,0.439,0.722,0.31,86.8,0.12
1995-10-07 || 김태진,22K키1B,0.23,77,276,254,37,68,5,1,0,75,20,1,2,17,1,0,30,4,3,1,0.268,0.315,0.295,0.61,0.289,74.5,-0.12
1992-04-15 || 라모스,22KRF,0.21,18,80,72,10,18,1,1,3,30,11,2,0,4,2,0,18,2,1,1,0.25,0.304,0.417,0.721,0.323,96.5,-0.16
1999-10-26 || 이병헌,22삼C,0.18,3,4,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0.75,0.75,1,1.75,0.801,426.4,0.08
1996-07-01 || 최승민,22NCF,0.17,44,34,34,19,11,0,0,0,11,3,6,3,0,0,0,7,1,0,0,0.324,0.324,0.324,0.647,0.305,88.6,-0.42
2000-05-09 || 유상빈,22한LF,0.16,17,49,46,3,15,5,0,0,20,4,0,1,0,0,0,11,0,2,1,0.326,0.319,0.435,0.754,0.327,101,0.31
1999-02-02 || 김성윤,22삼CF,0.15,48,49,42,14,8,3,0,1,14,2,10,2,5,1,0,10,0,1,0,0.19,0.292,0.333,0.625,0.289,72.9,-0.18
1999-12-26 || 김재혁,22삼LF,0.15,15,39,33,5,8,1,0,0,9,3,4,0,4,1,0,9,0,0,1,0.242,0.333,0.273,0.606,0.296,79.3,0.1
2001-07-27 || 박정현,22한SS,0.15,81,220,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,0.282,70.2,-1.42
2003-10-02 || 조민성,22삼1B,0.15,12,16,13,3,4,0,0,1,7,3,1,0,2,1,0,7,0,0,0,0.308,0.438,0.538,0.976,0.443,175.4,-0.02
1997-12-12 || 권광민,22한LF,0.14,32,87,71,6,16,3,1,0,21,8,0,1,13,1,0,30,0,0,2,0.225,0.345,0.296,0.641,0.31,90.1,-0.62
1990-10-29 || 하재훈,22SLF,0.14,60,114,107,18,23,6,1,6,49,13,1,0,4,1,0,40,0,0,2,0.215,0.246,0.458,0.704,0.308,83.3,-0.43
2000-03-18 || 변우혁,22한1B,0.14,21,61,61,5,16,3,0,3,28,8,0,0,0,0,0,21,3,0,0,0.262,0.262,0.459,0.721,0.322,97.1,-0.76
1996-08-10 || 김태근,22두CF,0.12,2,6,4,0,2,1,0,0,3,2,0,1,1,1,0,1,0,0,0,0.5,0.667,0.75,1.417,0.621,307.7,0.14
1999-06-30 || 전민재,22두SS,0.12,35,46,45,11,13,1,0,0,14,0,3,0,0,0,0,12,3,1,0,0.289,0.289,0.311,0.6,0.275,64.5,-0.11
1996-06-17 || 최경모,22S3B,0.12,98,75,73,16,22,2,0,0,24,4,2,0,1,0,0,18,1,1,0,0.301,0.311,0.329,0.64,0.296,79.6,-0.31
1999-02-28 || 이재용,22NC,0.12,8,6,5,1,1,0,0,1,4,2,0,0,1,0,0,2,1,0,0,0.2,0.333,0.8,1.133,0.467,191.4,-0.01
1987-12-26 || 이명기,22NLF,0.11,94,341,300,36,77,13,2,0,94,23,5,4,30,3,0,56,8,6,2,0.257,0.328,0.313,0.642,0.301,84.1,-1.84
1995-11-21 || 김민혁,22KLF,0.1,132,434,373,47,106,10,2,0,120,35,6,9,37,2,2,62,10,19,3,0.284,0.349,0.322,0.671,0.305,83.6,0.07
1994-02-20 || 장운호,22한RF,0.1,57,146,122,12,29,3,0,1,35,15,0,2,17,3,1,24,2,2,2,0.238,0.34,0.287,0.627,0.299,81.1,-0.01
2000-01-30 || 오영수,22N1B,0.09,83,259,231,25,55,10,0,6,83,31,0,5,22,3,0,58,4,0,3,0.238,0.309,0.359,0.668,0.311,89.8,0.33
1991-11-18 || 오태곤,22SLF,0.08,130,295,263,48,61,15,1,4,90,23,11,4,15,9,1,68,3,5,3,0.232,0.293,0.342,0.635,0.29,73.9,0.06
2002-06-16 || 강현구,22두LF,0.08,3,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.333,0.6,0.333,0.933,0.482,206.5,0.03
1991-04-06 || 문상철,22K1B,0.07,28,52,49,5,11,3,0,2,20,4,1,0,3,0,0,17,2,0,0,0.224,0.269,0.408,0.677,0.306,84.3,-0.27
2001-01-18 || 김선우,22K,0.06,3,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333,0.5,0.333,0.833,0.423,166.1,0.05
1999-03-25 || 최준우,22S2B,0.05,10,16,12,0,3,0,0,0,3,1,0,0,3,0,0,3,0,0,1,0.25,0.375,0.25,0.625,0.311,89.1,-0.06
2000-10-28 || 송승환,22두LF,0.04,11,28,28,3,7,1,0,1,11,4,0,0,0,0,0,7,0,0,0,0.25,0.25,0.393,0.643,0.29,81.2,0.22
2001-03-14 || 문상준,22KSS,0.04,2,3,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.667,1,0.439,171,0.07
1998-03-18 || 김민수,22롯3B,0.04,57,156,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0,0.257,0.32,0.3,0.62,0.293,73.7,0.23
2002-01-23 || 권혁경,22KC,0.04,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.471,199.9,0.02
