,YYYY,team,pos,name,birth,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA,salary,key,key_fnl,most_value_fnl,salary_log
20,2022,TWINS,CF,박해민,1990-02-24,3.45,144,636,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,0.331,103.9,0.6,60000,박해민1990-02-24,박해민1990-02-24,CF,11.002099841204238
21,2022,TIGERS,C,장성우,1990-01-17,3.39,117,420,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3,0.26,0.353,0.439,0.792,0.36,121.8,0.5,50000,장성우1990-01-17,장성우1990-01-17,C,10.819778284410283
22,2022,DYNOS,3B,노진혁,1989-07-15,3.31,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5,0.28,0.353,0.455,0.807,0.362,125.1,1.13,23000,노진혁1989-07-15,노진혁1989-07-15,SS,10.043249494911286
23,2022,BEARS,3B,허경민,1990-08-26,3.29,121,493,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,0.289,0.361,0.398,0.759,0.35,119.6,1.82,120000,허경민1990-08-26,허경민1990-08-26,3B,11.695247021764184
24,2022,GIANTS,2B,안치홍,1990-07-02,3.24,132,562,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.79,0.354,117.2,0.87,100000,안치홍1990-07-02,안치홍1990-07-02,2B,11.512925464970229
25,2022,BEARS,LF,김재환,1988-09-22,3.24,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,0.248,0.34,0.46,0.8,0.36,130.7,0.33,150000,김재환1988-09-22,김재환1988-09-22,LF,11.918390573078392
26,2022,TWINS,RF,홍창기,1993-11-21,3.17,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,0.353,119.2,1.27,32000,홍창기1993-11-21,홍창기1993-11-21,CF,10.373491181781864
27,2022,GIANTS,LF,전준우,1986-02-25,3.1,120,517,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,0.304,0.35,0.445,0.795,0.361,121.3,1.19,50000,전준우1986-02-25,전준우1986-02-25,CF,10.819778284410283
28,2022,TIGERS,SS,박찬호,1995-06-05,3.02,130,566,494,81,134,22,0,4,168,45,41,8,57,1,0,67,9,7,7,0.271,0.344,0.34,0.684,0.319,95.0,0.62,12000,박찬호1995-06-05,박찬호1995-06-05,SS,9.392661928770137
29,2022,HEROS,C,박동원,1990-04-07,2.94,123,447,385,52,93,21,0,18,168,57,1,0,45,9,4,95,9,7,1,0.242,0.334,0.436,0.771,0.344,111.5,-0.8,18000,박동원1990-04-07,박동원1990-04-07,C,9.798127036878302
30,2022,TWINS,1B,채은성,1990-02-06,2.89,126,526,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.79,0.359,127.3,-0.22,28000,채은성1990-02-06,채은성1990-02-06,RF,10.239959789157341
31,2022,TIGERS,2B,김선빈,1989-12-18,2.88,140,587,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,0.287,0.373,0.351,0.724,0.341,109.6,1.39,45000,김선빈1989-12-18,김선빈1989-12-18,SS,10.714417768752456
32,2022,LIONS,1B,오재일,1986-10-29,2.83,135,536,470,57,126,42,0,21,231,94,2,1,58,1,8,133,7,0,7,0.268,0.345,0.491,0.837,0.37,126.5,0.86,60000,오재일1986-10-29,오재일1986-10-29,1B,11.002099841204238
33,2022,TIGERS,RF,조용호,1989-09-09,2.66,131,531,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3,0.308,0.374,0.382,0.756,0.352,115.8,1.99,24000,조용호1989-09-09,조용호1989-09-09,LF,10.085809109330082
34,2022,EAGLES,3B,노시환,2000-12-03,2.65,115,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.738,0.344,112.5,1.99,12000,노시환2000-12-03,노시환2000-12-03,3B,9.392661928770137
35,2022,TIGERS,3B,황재균,1987-07-28,2.65,141,581,519,59,136,24,3,10,196,64,6,3,53,5,5,99,17,2,2,0.262,0.335,0.378,0.713,0.328,99.6,-0.18,40000,황재균1987-07-28,황재균1987-07-28,3B,10.596634733096073
36,2022,TIGERS,CF,배정대,1995-06-12,2.58,144,575,508,64,135,24,2,6,181,56,19,4,54,4,0,126,2,5,4,0.266,0.339,0.356,0.695,0.324,96.7,-0.18,26000,배정대1995-06-12,배정대1995-06-12,CF,10.165851817003619
37,2022,TWINS,DH,문성주,1997-02-20,2.48,106,390,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.375,136.0,0.48,4200,문성주1997-02-20,문성주1997-02-20,DH,8.34283980427146
38,2022,WYVERNS,DH,추신수,1982-07-13,2.38,112,499,409,77,106,20,1,16,176,58,15,5,71,13,1,100,6,2,4,0.259,0.382,0.43,0.813,0.374,129.8,2.01,270000,추신수1982-07-13,추신수1982-07-13,DH,12.506177237980511
39,2022,BEARS,2B,강승호,1994-02-09,2.34,134,487,444,54,117,28,1,10,177,62,13,5,29,3,0,100,8,6,5,0.264,0.31,0.399,0.708,0.32,100.5,0.53,11500,강승호1994-02-09,강승호1994-02-09,2B,9.350102314351341
40,2022,TWINS,C,유강남,1992-07-15,2.3,139,469,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,0.255,0.326,0.351,0.677,0.314,94.9,0.41,27000,유강남1992-07-15,유강남1992-07-15,C,10.203592144986466
41,2022,TIGERS,DH,최형우,1983-12-16,2.29,132,530,454,55,120,27,1,14,191,71,1,0,73,1,5,92,9,0,2,0.264,0.366,0.421,0.787,0.361,123.3,1.16,90000,최형우1983-12-16,최형우1983-12-16,LF,11.407564949312402
42,2022,TIGERS,3B,류지혁,1994-01-13,2.26,127,477,405,55,112,19,2,2,141,48,8,4,56,6,0,83,6,8,2,0.277,0.371,0.348,0.719,0.338,107.8,1.01,10500,류지혁1994-01-13,류지혁1994-01-13,SS,9.259130536145614
43,2022,DYNOS,2B,박민우,1993-02-06,2.13,104,451,390,61,104,22,1,4,140,38,21,4,42,10,5,55,7,6,3,0.267,0.351,0.359,0.71,0.326,101.0,0.62,41000,박민우1993-02-06,박민우1993-02-06,2B,10.621327345686446
44,2022,LIONS,C,강민호,1985-08-18,2.11,130,444,396,38,102,19,1,13,162,66,0,0,41,3,4,58,21,1,3,0.258,0.33,0.409,0.739,0.335,103.6,0.55,60000,강민호1985-08-18,강민호1985-08-18,C,11.002099841204238
45,2022,LIONS,2B,김지찬,2001-03-08,2.08,113,429,361,62,101,7,6,0,120,25,25,4,45,2,0,64,2,19,2,0.28,0.361,0.332,0.693,0.317,93.2,0.63,11000,김지찬2001-03-08,김지찬2001-03-08,2B,9.305650551780507
46,2022,DYNOS,RF,손아섭,1988-03-18,2.07,138,617,548,72,152,29,4,4,201,48,6,3,59,3,2,76,9,1,6,0.277,0.347,0.367,0.714,0.333,105.7,1.43,150000,손아섭1988-03-18,손아섭1988-03-18,RF,11.918390573078392
47,2022,HEROS,3B,송성문,1996-08-29,2.01,142,601,547,67,135,21,4,13,203,79,0,1,45,1,6,65,8,1,7,0.247,0.302,0.371,0.673,0.305,88.1,-1.23,3500,송성문1996-08-29,송성문1996-08-29,3B,8.160518247477505
48,2022,LIONS,CF,김현준,2002-10-11,1.96,118,422,363,57,100,19,4,0,127,22,5,3,45,6,0,80,1,8,0,0.275,0.365,0.35,0.715,0.334,105.5,0.64,3300,김현준2002-10-11,김현준2002-10-11,CF,8.101677747454572
49,2022,GIANTS,RF,고승민,2000-08-11,1.95,92,262,234,31,74,15,1,5,106,30,1,4,25,0,0,47,6,2,1,0.316,0.381,0.453,0.834,0.381,134.4,1.34,3800,고승민2000-08-11,고승민2000-08-11,RF,8.242756345714477
50,2022,LIONS,RF,구자욱,1993-02-12,1.91,99,442,409,69,119,23,3,5,163,37,11,1,27,3,2,84,7,1,2,0.291,0.338,0.399,0.736,0.338,107.1,-0.31,250000,구자욱1993-02-12,구자욱1993-02-12,RF,12.429216196844383
51,2022,TIGERS,LF,이창진,1991-03-04,1.84,111,404,346,56,104,14,0,7,139,48,3,5,41,2,0,63,7,11,4,0.301,0.374,0.402,0.776,0.352,117.2,-0.65,7000,이창진1991-03-04,이창진1991-03-04,CF,8.85366542803745
52,2022,LIONS,3B,강한울,1991-09-12,1.83,93,252,226,31,73,12,1,1,90,26,4,2,20,0,0,48,2,4,2,0.323,0.375,0.398,0.773,0.355,119.4,-0.53,10000,강한울1991-09-12,강한울1991-09-12,SS,9.210340371976184
53,2022,BEARS,DH,페르난데스,1988-04-27,1.83,139,550,508,52,157,28,0,6,203,77,0,0,35,2,0,45,34,0,5,0.309,0.353,0.4,0.752,0.349,118.6,-0.21,60000,페르난데스1988-04-27,페르난데스1988-04-27,DH,11.002099841204238
54,2022,TIGERS,C,김준태,1994-07-31,1.82,98,270,231,28,63,16,1,4,93,27,2,0,33,0,1,77,4,3,3,0.273,0.36,0.403,0.762,0.348,113.0,0.54,6500,김준태1994-07-31,김준태1994-07-31,C,8.779557455883728
55,2022,DYNOS,SS,김주원,2002-07-30,1.81,96,326,273,35,62,10,2,10,106,47,10,3,30,14,1,89,4,9,0,0.227,0.334,0.388,0.723,0.327,100.7,-0.41,6000,김주원2002-07-30,김주원2002-07-30,SS,8.699514748210191
56,2022,EAGLES,C,최재훈,1989-08-27,1.78,114,437,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,0.223,0.339,0.302,0.641,0.308,87.4,-1.31,100000,최재훈1989-08-27,최재훈1989-08-27,C,11.512925464970229
57,2022,BEARS,1B,양석환,1991-07-15,1.57,107,446,406,58,99,14,1,20,175,51,1,0,32,7,3,101,3,0,1,0.244,0.309,0.431,0.741,0.334,113.0,0.05,39000,양석환1991-07-15,양석환1991-07-15,1B,10.571316925111784
58,2022,TIGERS,SS,심우준,1995-04-28,1.55,132,449,388,69,93,8,2,4,117,34,23,2,43,2,0,75,11,11,4,0.24,0.316,0.302,0.617,0.287,72.0,-1.06,26000,심우준1995-04-28,심우준1995-04-28,SS,10.165851817003619
59,2022,EAGLES,SS,하주석,1994-02-25,1.38,125,483,444,50,115,18,2,5,152,58,20,6,31,3,1,126,4,2,3,0.259,0.31,0.342,0.652,0.303,84.5,-0.21,20090,하주석1994-02-25,하주석1994-02-25,SS,9.90797745780898
60,2022,LIONS,DH,김재성,1996-10-30,1.37,63,185,161,16,54,10,0,3,73,26,0,0,18,2,0,40,4,1,3,0.335,0.402,0.453,0.856,0.392,143.6,0.44,4500,김재성1996-10-30,김재성1996-10-30,C,8.411832675758411
61,2022,WYVERNS,CF,김강민,1982-09-13,1.33,84,202,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,0.303,0.375,0.449,0.824,0.372,129.5,1.07,16000,김강민1982-09-13,김강민1982-09-13,CF,9.680344001221918
62,2022,BEARS,C,박세혁,1990-01-09,1.29,128,402,351,33,87,13,1,3,111,41,2,2,33,6,1,71,4,8,4,0.248,0.32,0.316,0.636,0.295,80.4,-1.26,30000,박세혁1990-01-09,박세혁1990-01-09,C,10.308952660644293
63,2022,HEROS,C,이지영,1986-02-27,1.26,137,450,420,38,112,13,4,2,139,37,1,1,20,2,2,44,16,8,0,0.267,0.303,0.331,0.634,0.29,75.6,-1.85,21000,이지영1986-02-27,이지영1986-02-27,C,9.95227771670556
64,2022,LIONS,C,김태군,1989-12-30,1.22,102,235,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3,0.298,0.358,0.38,0.739,0.337,106.3,-0.17,20000,김태군1989-12-30,김태군1989-12-30,C,9.903487552536127
65,2022,TWINS,DH,이재원,1999-07-17,1.19,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.346,122.0,0.61,5200,이재원1999-07-17,이재원1999-07-17,DH,8.556413904569519
66,2022,GIANTS,CF,피터스,1995-12-12,1.18,85,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,0.228,0.299,0.402,0.701,0.319,93.7,1.09,60000,피터스1995-12-12,피터스1995-12-12,CF,11.002099841204238
67,2022,BEARS,RF,김인태,1994-07-03,1.17,83,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0,0.247,0.366,0.336,0.702,0.337,109.9,0.08,14000,김인태1994-07-03,김인태1994-07-03,RF,9.546812608597396
68,2022,BEARS,RF,안권수,1993-04-19,1.15,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,0.297,0.368,0.343,0.712,0.339,108.3,-0.47,4800,안권수1993-04-19,안권수1993-04-19,RF,8.476371196895983
